71;26000;Rimaucourt;Desserte Fret-Infrastructure;48,26386;5,33295
72;26000;Andelot (Haute-Marne);Infrastructure;48,24485;5,30857
73;26000;Chantraines;Non exploitée;48,22056;5,24633
74;26000;Briaucourt;Non exploitée;48,21202;5,20689
75;26000;Bologne;Desserte Fret-Desserte Voyageur-Infrastructure;48,19949;5,13593
76;20000;Jonchery;Non exploitée;48,13305;5,09021
77;20000;Marault;Non exploitée;48,1818;5,11306
78;20000;Bologne;Desserte Fret-Desserte Voyageur-Infrastructure;48,19858;5,13426
79;20000;Vraincourt-Viéville;Desserte Voyageur;48,23707;5,12384
80;20000;Vignory;Desserte Fret-Desserte Voyageur-Infrastructure;48,27047;5,12419
81;20000;Froncles-Buxières;Desserte Voyageur;48,29664;5,1416
82;20000;Gudmont;Desserte Fret-Desserte Voyageur-Infrastructure;48,33749;5,14085
83;20000;Donjeux;Desserte Voyageur;48,36593;5,14842
84;20000;Fronville-St-Urbain;Desserte Voyageur;48,40132;5,15608
85;20000;Joinville (Haute-Marne);Desserte Fret-Desserte Voyageur-Infrastructure;48,44474;5,1443
86;20000;Curel;Non exploitée;48,48966;5,13094
87;20000;Chevillon;Desserte Fret-Desserte Voyageur-Infrastructure;48,52427;5,11183
88;20000;Bayard;Desserte Fret-Desserte Voyageur-Infrastructure;48,5515;5,07629
89;20000;Eurville-Bienville;Desserte Fret-Desserte Voyageur-Infrastructure;48,5829;5,04489
90;20000;Ancerville-Guë;Desserte Fret-Infrastructure;48,617;5,00979
91;20000;Marnaval;Non exploitée;48,6287;4,99202
92;20000;St-Dizier;Desserte Fret-Desserte Voyageur-Infrastructure;48,64278;4,9472
93;20000;Villiers-en-Lieu;Desserte Voyageur;48,66334;4,8975
94;20000;St-Eulien;Desserte Voyageur-Infrastructure;48,67821;4,86814
95;20000;Vouillers;Non exploitée;48,68745;4,84986
96;20000;St-Vrain;Non exploitée;48,69788;4,8291
97;19000;St-Dizier;Desserte Fret-Desserte Voyageur-Infrastructure;48,64168;4,95105
98;18000;Doulevant-le-Château;Non exploitée;48,37569;4,92773
99;18000;Dommartin-le-St-Père;Non exploitée;48,39518;4,91832
100;18000;Courcelles-sur-Blaise;Non exploitée;48,41433;4,93487
101;18000;Dommartin-le-Franc;Non exploitée;48,42964;4,95442
102;18000;Vaux-Montreuil;Non exploitée;48,47387;4,96525
103;18000;Brousseval;Non exploitée;48,48947;4,96192
104;18000;Wassy;Non exploitée;48,49408;4,94237
105;468000;Pléchâtel;Desserte Voyageur;47,87172;-1,77619
106;468000;Messac-Guipry;Desserte Voyageur-Infrastructure;47,82223;-1,81796
107;468000;Fougeray-Langon;Desserte Voyageur;47,72993;-1,85147
108;468000;Beslé;Desserte Voyageur-Infrastructure;47,69896;-1,86999
109;468000;Massérac;Desserte Voyageur;47,67471;-1,9138
110;468000;Redon;Desserte Fret-Desserte Voyageur-Infrastructure;47,65228;-2,08852
111;470000;Redon;Desserte Fret-Desserte Voyageur-Infrastructure;47,65228;-2,08852
112;470000;St-Jacut;Non exploitée;47,67896;-2,18828
113;470000;Malansac;Desserte Voyageur;47,67577;-2,29519
114;470000;Questembert;Desserte Fret-Desserte Voyageur-Infrastructure;47,68308;-2,45011
115;470000;Elven;Non exploitée;47,70161;-2,62937
116;470000;Vannes;Desserte Fret-Desserte Voyageur-Infrastructure;47,66482;-2,75192
117;470000;Ste-Anne;Desserte Voyageur;47,67837;-2,9611
118;470000;Auray;Desserte Fret-Desserte Voyageur-Infrastructure;47,68002;-3,00001
119;470000;Landévant;Desserte Voyageur;47,7595;-3,12398
120;470000;Hennebont;Desserte Voyageur-Infrastructure;47,7992;-3,28598
121;470000;Lorient;Desserte Fret-Desserte Voyageur-Infrastructure;47,75555;-3,36564
122;470000;Gestel;Desserte Voyageur-Infrastructure;47,80296;-3,44298
123;470000;Quimperlé;Desserte Fret-Desserte Voyageur-Infrastructure;47,86922;-3,55259
124;470000;Bannalec;Desserte Fret-Desserte Voyageur-Infrastructure;47,9268;-3,70603
125;470000;Rosporden;Desserte Fret-Desserte Voyageur-Infrastructure;47,96029;-3,83316
126;470000;St-Yvy;Non exploitée;47,97524;-3,92683
127;470000;Quimper;Desserte Fret-Desserte Voyageur-Infrastructure;47,99438;-4,0932
128;470000;Quéménéven;Desserte Fret;48,11579;-4,08585
129;470000;Quimerch;Non exploitée;48,28245;-4,09581
130;470000;Hanvec;Infrastructure;48,34159;-4,13528
131;470000;Daoulas;Non exploitée;48,35952;-4,23994
132;470000;Dirinon;Desserte Fret-Desserte Voyageur-Infrastructure;48,39266;-4,28509
133;470000;Landerneau;Desserte Fret-Desserte Voyageur-Infrastructure;48,45347;-4,25644
134;472000;La Brohinière;Desserte Fret-Desserte Voyageur-Infrastructure;48,21367;-2,11046
135;473000;Auray;Desserte Fret-Desserte Voyageur-Infrastructure;47,68002;-3,00001
136;473000;Belz-Ploemel;Desserte Voyageur;47,65227;-3,07228
137;473000;Plouharnel-Carnac;Desserte Voyageur-Infrastructure;47,60374;-3,11863
138;473000;Les Sables-Blancs;Desserte Voyageur;47,57522;-3,1324
139;415000;Pleine-Fougères;Desserte Fret-Infrastructure;48,52988;-1,56565
140;415000;Plerguer;Desserte Voyageur;48,53157;-1,85088
141;415000;Miniac;Desserte Voyageur;48,53145;-1,91499
142;415000;Pleudihen;Desserte Voyageur;48,49949;-1,9618
143;415000;La Hisse;Desserte Voyageur;48,49607;-2,00429
144;415000;Dinan;Desserte Voyageur-Infrastructure;48,45661;-2,0544
145;415000;Plancoët;Desserte Voyageur-Infrastructure;48,52175;-2,22922
146;415000;Landébia;Desserte Voyageur-Infrastructure;48,5076;-2,33158
147;420000;Vitré;Desserte Fret-Desserte Voyageur-Infrastructure;48,12266;-1,21216
148;420000;Châteaubourg;Desserte Voyageur-Infrastructure;48,10621;-1,40571
149;420000;Noyal-Acigné;Desserte Voyageur-Infrastructure;48,11868;-1,52963
150;420000;Cesson-Sévigné-Halte;Desserte Voyageur;48,11281;-1,60222
151;420000;Montfort-sur-Meu;Desserte Voyageur-Infrastructure;48,13897;-1,94921
152;420000;Montauban-de-Bretagne;Desserte Fret-Desserte Voyageur-Infrastructure;48,19021;-2,05258
153;420000;La Brohinière;Desserte Fret-Desserte Voyageur-Infrastructure;48,21367;-2,11046
154;420000;Caulnes;Desserte Voyageur;48,28453;-2,15535
155;420000;Broons;Desserte Voyageur-Infrastructure;48,33353;-2,23586
156;420000;Plénée-Jugon;Desserte Fret-Desserte Voyageur-Infrastructure;48,37675;-2,3546
157;420000;Yffiniac;Desserte Voyageur-Infrastructure;48,47008;-2,65225
158;420000;St-Brieuc;Desserte Fret-Desserte Voyageur-Infrastructure;48,50797;-2,76497
159;420000;La Méaugon;Desserte Voyageur;48,49946;-2,84401
160;420000;Plouvara-Plerneuf;Desserte Voyageur;48,50869;-2,89244
161;420000;Châtelaudren-Plouagat;Desserte Fret-Desserte Voyageur-Infrastructure;48,53335;-2,97458
162;420000;Guingamp;Desserte Fret-Desserte Voyageur-Infrastructure;48,55623;-3,14293
163;420000;Belle-Isle-Bégard;Desserte Voyageur;48,59376;-3,32245
164;420000;Plouaret;Desserte Voyageur-Infrastructure;48,60652;-3,46669
165;420000;Plounérin;Desserte Fret-Desserte Voyageur-Infrastructure;48,58144;-3,56799
166;420000;Morlaix;Desserte Fret-Desserte Voyageur-Infrastructure;48,5777;-3,8331
167;420000;Pleyber-Christ;Desserte Fret-Desserte Voyageur-Infrastructure;48,50732;-3,88293
168;420000;St-Thégonnec;Desserte Voyageur-Infrastructure;48,49442;-3,94844
169;420000;Guimiliau;Desserte Voyageur;48,48526;-3,9991
170;420000;Landivisiau;Desserte Fret-Desserte Voyageur-Infrastructure;48,49615;-4,08188
171;420000;La Roche;Desserte Voyageur;48,47372;-4,20554
172;420000;Landerneau;Desserte Fret-Desserte Voyageur-Infrastructure;48,45347;-4,25644
173;2000;Meilleray;Non exploitée;48,78368;3,41785
174;2000;Lescherolles;Non exploitée;48,77233;3,34581
175;2000;La Ferté-Gaucher;Desserte Voyageur-Infrastructure;48,78219;3,2977
176;2000;Jouy-sur-Morin-Le Marais;Desserte Voyageur;48,79062;3,27351
177;2000;St-Siméon;Desserte Voyageur;48,79925;3,20855
178;2000;Chailly-Boissy-Le Châtel;Desserte Voyageur;48,81427;3,15193
179;2000;Coulommiers;Desserte Fret-Desserte Voyageur-Infrastructure;48,80765;3,08184
180;2000;Mouroux;Desserte Voyageur;48,81328;3,04473
181;2000;Faremoutiers-Pommeuse;Desserte Voyageur;48,80855;2,99341
182;2000;Guérard-La Celle-sur-Morin;Desserte Voyageur;48,81043;2,95464
183;2000;Dammartin-Tigeaux;Non exploitée;48,8106;2,92573
184;2000;Mortcerf;Desserte Voyageur-Infrastructure;48,78912;2,90774
185;2000;La Houssaye-Crèvecoeur;Non exploitée;48,75461;2,88346
186;2000;Marles-en-Brie;Desserte Fret-Desserte Voyageur-Infrastructure;48,73427;2,8675
187;2000;Tournan;Desserte Fret-Desserte Voyageur-Infrastructure;48,73931;2,75957
188;1379;Magenta;Desserte Voyageur-Infrastructure;48,88034;2,35837
189;1000;Mulhouse-Ville;Desserte Fret-Desserte Voyageur-Infrastructure;47,74199;7,34344
190;1000;Hasenrain;Desserte Voyageur;47,73558;7,32946
191;1000;Brunstatt;Desserte Voyageur;47,71979;7,31414
192;1000;Flaxlanden;Desserte Voyageur;47,69845;7,30421
193;1000;Zillisheim;Desserte Voyageur;47,69434;7,2945
194;1000;Illfurth;Desserte Voyageur;47,67603;7,26818
195;1000;Tagolsheim;Desserte Voyageur;47,65482;7,26391
196;1000;Walheim;Desserte Voyageur;47,64179;7,26316
197;1000;Altkirch;Desserte Fret-Desserte Voyageur-Infrastructure;47,6271;7,23959
198;1000;Ballersdorf;Desserte Voyageur;47,61985;7,15515
199;1000;Dannemarie;Desserte Voyageur-Infrastructure;47,62741;7,1239
200;1000;Valdieu;Desserte Voyageur;47,63114;7,05578
201;1000;Montreux-Vieux;Desserte Voyageur-Infrastructure;47,61738;7,02464
202;1000;Petit-Croix;Desserte Voyageur-Infrastructure;47,6101;6,99463
203;1000;Chèvremont;Desserte Voyageur-Infrastructure;47,62166;6,92074
204;1000;Belfort;Desserte Fret-Desserte Voyageur-Infrastructure;47,63251;6,85414
205;1000;Trois-Chênes;Desserte Voyageur;47,6479;6,84605
206;1000;Valdoie;Non exploitée;47,66514;6,83741
207;1000;Bas-Évette;Desserte Fret-Desserte Voyageur-Infrastructure;47,68086;6,80692
208;1000;Champagney;Desserte Voyageur-Infrastructure;47,70315;6,70123
209;1000;Ronchamp;Desserte Voyageur;47,69907;6,62319
210;1000;Lure;Desserte Fret-Desserte Voyageur-Infrastructure;47,68296;6,49275
211;1000;Genevreuille;Infrastructure;47,67834;6,38137
212;1000;Creveney-Saulx;Infrastructure;47,68301;6,287
213;1000;Colombier;Non exploitée;47,66091;6,2147
214;1000;Vesoul;Desserte Fret-Desserte Voyageur-Infrastructure;47,61747;6,15174
215;1000;Vaivre;Non exploitée;47,63328;6,10366
216;1000;Grattery;Non exploitée;47,67172;6,0823
217;1000;Port-sur-Saône;Non exploitée;47,68971;6,05314
218;1000;Port-d'Atelier-Amance;Desserte Fret-Infrastructure;47,76247;6,03999
219;1000;Montureux-lès-Baulay;Infrastructure;47,81299;5,98703
220;1000;Jussey;Desserte Fret-Infrastructure;47,83696;5,90323
221;1000;Barges-Cemboing;Non exploitée;47,85517;5,86334
222;1000;Vitrey-Vernois;Infrastructure;47,83245;5,7812
223;1000;Laferté-sur-Amance;Non exploitée;47,82209;5,68365
224;1000;Charmoy-Fayl-Billot;Non exploitée;47,8259;5,62874
225;1000;Hortes;Non exploitée;47,83408;5,5491
226;1000;Chaudenay (Haute-Marne);Non exploitée;47,82492;5,49012
227;1000;Culmont-Chalindrey;Desserte Fret-Desserte Voyageur-Infrastructure;47,80974;5,44302
228;1000;Langres;Desserte Fret-Desserte Voyageur-Infrastructure;47,87723;5,34471
229;1000;Humes;Non exploitée;47,90584;5,30217
230;1000;Rolampont;Desserte Fret-Infrastructure;47,9488;5,28289
231;1000;Vesaignes-sur-Marne;Non exploitée;47,99795;5,26368
232;1000;Foulain;Infrastructure;48,04167;5,21125
233;1000;Luzy-sur-Marne;Non exploitée;48,06059;5,1805
234;1000;Chaumont;Desserte Fret-Desserte Voyageur-Infrastructure;48,10944;5,13443
235;1000;Villiers-le-Sec;Desserte Fret;48,11205;5,06903
